ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2013-12-08T23:00:00.000000000Z,33,1,28499,3505.000000000,3510.000000000,3505.000000000,3510.000000000,184,NQZ3
2013-12-08T23:01:00.000000000Z,33,1,382251,3505.750000000,3505.750000000,3505.750000000,3505.750000000,1,NQH4
2013-12-08T23:01:00.000000000Z,33,1,28499,3509.750000000,3512.250000000,3509.750000000,3512.250000000,162,NQZ3
2013-12-08T23:02:00.000000000Z,33,1,28499,3512.250000000,3513.000000000,3511.750000000,3512.500000000,133,NQZ3
2013-12-08T23:03:00.000000000Z,33,1,28499,3512.000000000,3512.750000000,3512.000000000,3512.500000000,30,NQZ3
2013-12-08T23:04:00.000000000Z,33,1,28499,3512.500000000,3512.750000000,3512.250000000,3512.500000000,23,NQZ3
2013-12-08T23:05:00.000000000Z,33,1,28499,3512.500000000,3513.500000000,3512.500000000,3513.250000000,115,NQZ3
2013-12-08T23:05:00.000000000Z,33,1,382251,3507.000000000,3508.250000000,3507.000000000,3508.250000000,52,NQH4
2013-12-08T23:06:00.000000000Z,33,1,382251,3507.750000000,3508.000000000,3507.750000000,3508.000000000,10,NQH4
2013-12-08T23:06:00.000000000Z,33,1,28499,3513.000000000,3513.500000000,3512.000000000,3512.250000000,54,NQZ3
2013-12-08T23:07:00.000000000Z,33,1,28499,3512.500000000,3512.750000000,3512.500000000,3512.750000000,10,NQZ3
2013-12-08T23:08:00.000000000Z,33,1,28499,3512.750000000,3513.500000000,3512.500000000,3513.250000000,23,NQZ3
2013-12-08T23:09:00.000000000Z,33,1,28499,3513.250000000,3513.750000000,3513.250000000,3513.250000000,34,NQZ3
2013-12-08T23:10:00.000000000Z,33,1,28499,3513.000000000,3513.750000000,3512.500000000,3513.250000000,71,NQZ3
2013-12-08T23:11:00.000000000Z,33,1,28499,3513.000000000,3513.250000000,3512.750000000,3512.750000000,13,NQZ3
2013-12-08T23:12:00.000000000Z,33,1,28499,3513.250000000,3513.250000000,3513.000000000,3513.250000000,8,NQZ3
