raw_symbol,instrument_id,date
NQU6-NQZ6,22117,2016-02-04
NQU6-NQZ6,22117,2016-02-05
NQU6-NQZ6,22117,2016-02-06
NQU6-NQZ6,22117,2016-02-07
NQU6-NQZ6,22117,2016-02-08
NQU6-NQZ6,22117,2016-02-09
NQU6-NQZ6,22117,2016-02-10
NQU6-NQZ6,22117,2016-02-11
NQU6-NQZ6,22117,2016-02-12
NQU6-NQZ6,22117,2016-02-13
NQU6-NQZ6,22117,2016-02-14
NQU6-NQZ6,22117,2016-02-15
NQU6-NQZ6,22117,2016-02-16
NQU6-NQZ6,22117,2016-02-17
NQU6-NQZ6,22117,2016-02-18
NQU6-NQZ6,22117,2016-02-19
NQU6-NQZ6,22117,2016-02-20
NQU6-NQZ6,22117,2016-02-21
NQU6-NQZ6,22117,2016-02-22
NQU6-NQZ6,22117,2016-02-23
NQU6-NQZ6,22117,2016-02-24
NQU6-NQZ6,22117,2016-02-25
NQU6-NQZ6,22117,2016-02-26
NQU6-NQZ6,22117,2016-02-27
NQU6-NQZ6,22117,2016-02-28
NQU6-NQZ6,22117,2016-02-29
NQU6-NQZ6,22117,2016-03-01
NQU6-NQZ6,22117,2016-03-02
NQU6-NQZ6,22117,2016-03-03
NQU6-NQZ6,22117,2016-03-04
NQU6-NQZ6,22117,2016-03-05
NQU6-NQZ6,22117,2016-03-06
NQU6-NQZ6,22117,2016-03-07
NQU6-NQZ6,22117,2016-03-08
NQU6-NQZ6,22117,2016-03-09
NQU6-NQZ6,22117,2016-03-10
NQU6-NQZ6,22117,2016-03-11
NQU6-NQZ6,22117,2016-03-12
NQU6-NQZ6,22117,2016-03-13
NQU6-NQZ6,22117,2016-03-14
NQU6-NQZ6,22117,2016-03-15
NQU6-NQZ6,22117,2016-03-16
NQU6-NQZ6,22117,2016-03-17
NQU6-NQZ6,22117,2016-03-18
NQU6-NQZ6,22117,2016-03-19
NQU6-NQZ6,22117,2016-03-20
NQU6-NQZ6,22117,2016-03-21
NQU6-NQZ6,22117,2016-03-22
NQU6-NQZ6,22117,2016-03-23
NQU6-NQZ6,22117,2016-03-24
NQU6-NQZ6,22117,2016-03-25
NQU6-NQZ6,22117,2016-03-26
NQU6-NQZ6,22117,2016-03-27
NQU6-NQZ6,22117,2016-03-28
NQU6-NQZ6,22117,2016-03-29
NQU6-NQZ6,22117,2016-03-30
NQU6-NQZ6,22117,2016-03-31
NQU6-NQZ6,22117,2016-04-01
NQU6-NQZ6,22117,2016-04-02
NQU6-NQZ6,22117,2016-04-03
NQU6-NQZ6,22117,2016-04-04
NQU6-NQZ6,22117,2016-04-05
NQU6-NQZ6,22117,2016-04-06
NQU6-NQZ6,22117,2016-04-07
NQU6-NQZ6,22117,2016-04-08
NQU6-NQZ6,22117,2016-04-09
NQU6-NQZ6,22117,2016-04-10
NQU6-NQZ6,22117,2016-04-11
NQU6-NQZ6,22117,2016-04-12
NQU6-NQZ6,22117,2016-04-13
NQU6-NQZ6,22117,2016-04-14
NQU6-NQZ6,22117,2016-04-15
NQU6-NQZ6,22117,2016-04-16
NQU6-NQZ6,22117,2016-04-17
NQU6-NQZ6,22117,2016-04-18
NQU6-NQZ6,22117,2016-04-19
NQU6-NQZ6,22117,2016-04-20
NQU6-NQZ6,22117,2016-04-21
NQU6-NQZ6,22117,2016-04-22
NQU6-NQZ6,22117,2016-04-23
NQU6-NQZ6,22117,2016-04-24
NQU6-NQZ6,22117,2016-04-25
NQU6-NQZ6,22117,2016-04-26
NQU6-NQZ6,22117,2016-04-27
NQU6-NQZ6,22117,2016-04-28
NQU6-NQZ6,22117,2016-04-29
NQU6-NQZ6,22117,2016-04-30
NQU6-NQZ6,22117,2016-05-01
NQU6-NQZ6,22117,2016-05-02
NQU6-NQZ6,22117,2016-05-03
NQU6-NQZ6,22117,2016-05-04
NQU6-NQZ6,22117,2016-05-05
NQU6-NQZ6,22117,2016-05-06
NQU6-NQZ6,22117,2016-05-07
NQU6-NQZ6,22117,2016-05-08
NQU6-NQZ6,22117,2016-05-09
NQU6-NQZ6,22117,2016-05-10
NQU6-NQZ6,22117,2016-05-11
NQU6-NQZ6,22117,2016-05-12
NQU6-NQZ6,22117,2016-05-13
NQU6-NQZ6,22117,2016-05-14
NQU6-NQZ6,22117,2016-05-15
NQU6-NQZ6,22117,2016-05-16
NQU6-NQZ6,22117,2016-05-17
NQU6-NQZ6,22117,2016-05-18
NQU6-NQZ6,22117,2016-05-19
NQU6-NQZ6,22117,2016-05-20
NQU6-NQZ6,22117,2016-05-21
NQU6-NQZ6,22117,2016-05-22
NQU6-NQZ6,22117,2016-05-23
NQU6-NQZ6,22117,2016-05-24
NQU6-NQZ6,22117,2016-05-25
NQU6-NQZ6,22117,2016-05-26
NQU6-NQZ6,22117,2016-05-27
NQU6-NQZ6,22117,2016-05-28
NQU6-NQZ6,22117,2016-05-29
NQU6-NQZ6,22117,2016-05-30
NQU6-NQZ6,22117,2016-05-31
NQU6-NQZ6,22117,2016-06-01
NQU6-NQZ6,22117,2016-06-02
NQU6-NQZ6,22117,2016-06-03
NQU6-NQZ6,22117,2016-06-04
NQU6-NQZ6,22117,2016-06-05
NQU6-NQZ6,22117,2016-06-06
NQU6-NQZ6,22117,2016-06-07
NQU6-NQZ6,22117,2016-06-08
NQU6-NQZ6,22117,2016-06-09
NQU6-NQZ6,22117,2016-06-10
NQU6-NQZ6,22117,2016-06-11
NQU6-NQZ6,22117,2016-06-12
NQU6-NQZ6,22117,2016-06-13
NQU6-NQZ6,22117,2016-06-14
NQU6-NQZ6,22117,2016-06-15
NQU6-NQZ6,22117,2016-06-16
NQU6-NQZ6,22117,2016-06-17
NQU6-NQZ6,22117,2016-06-18
NQU6-NQZ6,22117,2016-06-19
NQU6-NQZ6,22117,2016-06-20
NQU6-NQZ6,22117,2016-06-21
NQU6-NQZ6,22117,2016-06-22
NQU6-NQZ6,22117,2016-06-23
NQU6-NQZ6,22117,2016-06-24
NQU6-NQZ6,22117,2016-06-25
NQU6-NQZ6,22117,2016-06-26
NQU6-NQZ6,22117,2016-06-27
NQU6-NQZ6,22117,2016-06-28
NQU6-NQZ6,22117,2016-06-29
NQU6-NQZ6,22117,2016-06-30
NQU6-NQZ6,22117,2016-07-01
NQU6-NQZ6,22117,2016-07-02
NQU6-NQZ6,22117,2016-07-03
NQU6-NQZ6,22117,2016-07-04
NQU6-NQZ6,22117,2016-07-05
NQU6-NQZ6,22117,2016-07-06
NQU6-NQZ6,22117,2016-07-07
NQU6-NQZ6,22117,2016-07-08
NQU6-NQZ6,22117,2016-07-09
NQU6-NQZ6,22117,2016-07-10
NQU6-NQZ6,22117,2016-07-11
NQU6-NQZ6,22117,2016-07-12
NQU6-NQZ6,22117,2016-07-13
NQU6-NQZ6,22117,2016-07-14
NQU6-NQZ6,22117,2016-07-15
NQU6-NQZ6,22117,2016-07-16
NQU6-NQZ6,22117,2016-07-17
NQU6-NQZ6,22117,2016-07-18
NQU6-NQZ6,22117,2016-07-19
NQU6-NQZ6,22117,2016-07-20
NQU6-NQZ6,22117,2016-07-21
NQU6-NQZ6,22117,2016-07-22
NQU6-NQZ6,22117,2016-07-23
NQU6-NQZ6,22117,2016-07-24
NQU6-NQZ6,22117,2016-07-25
NQU6-NQZ6,22117,2016-07-26
NQU6-NQZ6,22117,2016-07-27
NQU6-NQZ6,22117,2016-07-28
NQU6-NQZ6,22117,2016-07-29
NQU6-NQZ6,22117,2016-07-30
NQU6-NQZ6,22117,2016-07-31
NQU6-NQZ6,22117,2016-08-01
NQU6-NQZ6,22117,2016-08-02
NQU6-NQZ6,22117,2016-08-03
NQU6-NQZ6,22117,2016-08-04
NQU6-NQZ6,22117,2016-08-05
NQU6-NQZ6,22117,2016-08-06
NQU6-NQZ6,22117,2016-08-07
NQU6-NQZ6,22117,2016-08-08
NQU6-NQZ6,22117,2016-08-09
NQU6-NQZ6,22117,2016-08-10
NQU6-NQZ6,22117,2016-08-11
NQU6-NQZ6,22117,2016-08-12
NQU6-NQZ6,22117,2016-08-13
NQU6-NQZ6,22117,2016-08-14
NQU6-NQZ6,22117,2016-08-15
NQU6-NQZ6,22117,2016-08-16
NQU6-NQZ6,22117,2016-08-17
NQU6-NQZ6,22117,2016-08-18
NQU6-NQZ6,22117,2016-08-19
NQU6-NQZ6,22117,2016-08-20
NQU6-NQZ6,22117,2016-08-21
NQU6-NQZ6,22117,2016-08-22
NQU6-NQZ6,22117,2016-08-23
NQU6-NQZ6,22117,2016-08-24
NQU6-NQZ6,22117,2016-08-25
NQU6-NQZ6,22117,2016-08-26
NQU6-NQZ6,22117,2016-08-27
NQU6-NQZ6,22117,2016-08-28
NQU6-NQZ6,22117,2016-08-29
NQU6-NQZ6,22117,2016-08-30
NQU6-NQZ6,22117,2016-08-31
NQU6-NQZ6,22117,2016-09-01
NQU6-NQZ6,22117,2016-09-02
NQU6-NQZ6,22117,2016-09-03
NQU6-NQZ6,22117,2016-09-04
NQU6-NQZ6,22117,2016-09-05
NQU6-NQZ6,22117,2016-09-06
NQU6-NQZ6,22117,2016-09-07
NQU6-NQZ6,22117,2016-09-08
NQU6-NQZ6,22117,2016-09-09
NQU6-NQZ6,22117,2016-09-10
NQU6-NQZ6,22117,2016-09-11
NQU6-NQZ6,22117,2016-09-12
NQU6-NQZ6,22117,2016-09-13
NQU6-NQZ6,22117,2016-09-14
NQU6-NQZ6,22117,2016-09-15
NQU6-NQZ6,22117,2016-09-16
NQU6-NQZ6,22117,2016-09-17
NQU6-NQZ6,22117,2016-09-18
NQU6-NQZ6,22117,2016-09-19
NQU6-NQZ6,22117,2016-09-20
NQU6-NQZ6,22117,2016-09-21
NQU6-NQZ6,22117,2016-09-22
NQU6-NQZ6,22117,2016-09-23
NQU6-NQZ6,22117,2016-09-24
NQU6-NQZ6,22117,2016-09-25
NQU6-NQZ6,22117,2016-09-26
NQU6-NQZ6,22117,2016-09-27
NQU6-NQZ6,22117,2016-09-28
NQU6-NQZ6,22117,2016-09-29
NQU6-NQZ6,22117,2016-09-30
NQU6-NQZ6,22117,2016-10-01
NQZ0-NQZ1,619132,2010-09-19
NQZ0-NQZ1,619132,2010-09-20
NQZ0-NQZ1,619132,2010-09-21
NQZ0-NQZ1,619132,2010-09-22
NQZ0-NQZ1,619132,2010-09-23
NQZ0-NQZ1,619132,2010-09-24
NQZ0-NQZ1,619132,2010-09-25
NQZ0-NQZ1,619132,2010-09-26
NQZ0-NQZ1,619132,2010-09-27
NQZ0-NQZ1,619132,2010-09-28
NQZ0-NQZ1,619132,2010-09-29
NQZ0-NQZ1,619132,2010-09-30
NQZ0-NQZ1,619132,2010-10-01
NQZ0-NQZ1,619132,2010-10-02
NQZ0-NQZ1,619132,2010-10-03
NQZ0-NQZ1,619132,2010-10-04
NQZ0-NQZ1,619132,2010-10-05
NQZ0-NQZ1,619132,2010-10-06
NQZ0-NQZ1,619132,2010-10-07
NQZ0-NQZ1,619132,2010-10-08
NQZ0-NQZ1,619132,2010-10-09
NQZ0-NQZ1,619132,2010-10-10
NQZ0-NQZ1,619132,2010-10-11
NQZ0-NQZ1,619132,2010-10-12
NQZ0-NQZ1,619132,2010-10-13
NQZ0-NQZ1,619132,2010-10-14
NQZ0-NQZ1,619132,2010-10-15
NQZ0-NQZ1,619132,2010-10-16
NQZ0-NQZ1,619132,2010-10-17
NQZ0-NQZ1,619132,2010-10-18
NQZ0-NQZ1,619132,2010-10-19
NQZ0-NQZ1,619132,2010-10-20
NQZ0-NQZ1,619132,2010-10-21
NQZ0-NQZ1,619132,2010-10-22
NQZ0-NQZ1,619132,2010-10-23
NQZ0-NQZ1,619132,2010-10-24
NQZ0-NQZ1,619132,2010-10-25
NQZ0-NQZ1,619132,2010-10-26
NQZ0-NQZ1,619132,2010-10-27
NQZ0-NQZ1,619132,2010-10-28
NQZ0-NQZ1,619132,2010-10-29
NQZ0-NQZ1,619132,2010-10-30
NQZ0-NQZ1,619132,2010-10-31
NQZ0-NQZ1,619132,2010-11-01
NQZ0-NQZ1,619132,2010-11-02
NQZ0-NQZ1,619132,2010-11-03
NQZ0-NQZ1,619132,2010-11-04
NQZ0-NQZ1,619132,2010-11-05
NQZ0-NQZ1,619132,2010-11-06
NQZ0-NQZ1,619132,2010-11-07
NQZ0-NQZ1,619132,2010-11-08
NQZ0-NQZ1,619132,2010-11-09
NQZ0-NQZ1,619132,2010-11-10
NQZ0-NQZ1,619132,2010-11-11
NQZ0-NQZ1,619132,2010-11-12
NQZ0-NQZ1,619132,2010-11-13
NQZ0-NQZ1,619132,2010-11-14
NQZ0-NQZ1,619132,2010-11-15
NQZ0-NQZ1,619132,2010-11-16
NQZ0-NQZ1,619132,2010-11-17
NQZ0-NQZ1,619132,2010-11-18
NQZ0-NQZ1,619132,2010-11-19
NQZ0-NQZ1,619132,2010-11-20
NQZ0-NQZ1,619132,2010-11-21
NQZ0-NQZ1,619132,2010-11-22
NQZ0-NQZ1,619132,2010-11-23
NQZ0-NQZ1,619132,2010-11-24
NQZ0-NQZ1,619132,2010-11-25
NQZ0-NQZ1,619132,2010-11-26
NQZ0-NQZ1,619132,2010-11-27
NQZ0-NQZ1,619132,2010-11-28
NQZ0-NQZ1,619132,2010-11-29
NQZ0-NQZ1,619132,2010-11-30
NQZ0-NQZ1,619132,2010-12-01
NQZ0-NQZ1,619132,2010-12-02
