ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-05-24T00:00:00.000000000Z,33,1,3522,13747.250000000,13748.250000000,13745.250000000,13746.000000000,171,NQM3
2023-05-24T00:01:00.000000000Z,33,1,3522,13746.000000000,13746.750000000,13744.750000000,13746.500000000,55,NQM3
2023-05-24T00:02:00.000000000Z,33,1,3522,13746.000000000,13746.250000000,13744.000000000,13746.000000000,75,NQM3
2023-05-24T00:03:00.000000000Z,33,1,3522,13745.250000000,13746.000000000,13744.750000000,13745.250000000,43,NQM3
2023-05-24T00:04:00.000000000Z,33,1,3522,13745.000000000,13746.000000000,13743.750000000,13746.000000000,59,NQM3
2023-05-24T00:05:00.000000000Z,33,1,3522,13746.250000000,13746.250000000,13743.750000000,13744.250000000,54,NQM3
2023-05-24T00:06:00.000000000Z,33,1,3522,13744.500000000,13745.750000000,13744.000000000,13744.250000000,32,NQM3
2023-05-24T00:07:00.000000000Z,33,1,3522,13744.000000000,13744.250000000,13742.750000000,13744.250000000,50,NQM3
2023-05-24T00:08:00.000000000Z,33,1,3522,13744.750000000,13747.250000000,13744.750000000,13747.250000000,35,NQM3
2023-05-24T00:09:00.000000000Z,33,1,3522,13747.250000000,13749.250000000,13747.250000000,13748.500000000,84,NQM3
2023-05-24T00:10:00.000000000Z,33,1,2130,13912.250000000,13912.250000000,13912.250000000,13912.250000000,1,NQU3
2023-05-24T00:10:00.000000000Z,33,1,3522,13748.250000000,13752.500000000,13748.250000000,13750.750000000,191,NQM3
2023-05-24T00:11:00.000000000Z,33,1,3522,13751.000000000,13752.250000000,13750.250000000,13751.750000000,62,NQM3
2023-05-24T00:12:00.000000000Z,33,1,3522,13751.000000000,13751.750000000,13750.500000000,13751.000000000,23,NQM3
2023-05-24T00:13:00.000000000Z,33,1,3522,13750.750000000,13751.250000000,13750.250000000,13750.250000000,48,NQM3
2023-05-24T00:14:00.000000000Z,33,1,3522,13750.750000000,13751.750000000,13750.000000000,13751.750000000,26,NQM3
2023-05-24T00:15:00.000000000Z,33,1,3522,13751.000000000,13751.750000000,13750.000000000,13751.000000000,38,NQM3
2023-05-24T00:16:00.000000000Z,33,1,3522,13750.250000000,13751.750000000,13749.750000000,13751.500000000,30,NQM3
2023-05-24T00:17:00.000000000Z,33,1,3522,13751.500000000,13753.750000000,13750.750000000,13752.750000000,114,NQM3
2023-05-24T00:17:00.000000000Z,33,1,2130,13913.500000000,13913.500000000,13913.500000000,13913.500000000,1,NQU3
2023-05-24T00:18:00.000000000Z,33,1,3522,13752.750000000,13753.250000000,13751.750000000,13751.750000000,59,NQM3
2023-05-24T00:19:00.000000000Z,33,1,3522,13752.000000000,13752.250000000,13749.250000000,13752.250000000,109,NQM3
2023-05-24T00:20:00.000000000Z,33,1,3522,13752.000000000,13753.500000000,13751.500000000,13752.250000000,113,NQM3
2023-05-24T00:21:00.000000000Z,33,1,3522,13752.000000000,13752.500000000,13751.000000000,13751.500000000,56,NQM3
