ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2018-11-20T00:00:00.000000000Z,33,1,16041,6653.500000000,6655.000000000,6650.750000000,6654.250000000,159,NQZ8
2018-11-20T00:01:00.000000000Z,33,1,16041,6654.250000000,6654.500000000,6651.750000000,6653.000000000,98,NQZ8
2018-11-20T00:02:00.000000000Z,33,1,16041,6653.000000000,6653.000000000,6650.000000000,6651.000000000,172,NQZ8
2018-11-20T00:03:00.000000000Z,33,1,16041,6650.500000000,6652.500000000,6649.000000000,6652.250000000,140,NQZ8
2018-11-20T00:03:00.000000000Z,33,1,15657,6680.000000000,6680.000000000,6680.000000000,6680.000000000,1,NQH9
2018-11-20T00:04:00.000000000Z,33,1,16041,6652.500000000,6655.250000000,6652.500000000,6653.750000000,97,NQZ8
2018-11-20T00:05:00.000000000Z,33,1,16041,6653.500000000,6660.000000000,6652.000000000,6660.000000000,172,NQZ8
2018-11-20T00:06:00.000000000Z,33,1,16041,6659.500000000,6660.750000000,6656.750000000,6657.750000000,162,NQZ8
2018-11-20T00:07:00.000000000Z,33,1,16041,6657.500000000,6658.500000000,6656.500000000,6658.500000000,68,NQZ8
2018-11-20T00:08:00.000000000Z,33,1,16041,6658.000000000,6660.750000000,6657.250000000,6657.250000000,180,NQZ8
2018-11-20T00:09:00.000000000Z,33,1,16041,6658.250000000,6659.000000000,6655.500000000,6658.250000000,129,NQZ8
2018-11-20T00:10:00.000000000Z,33,1,16041,6658.250000000,6659.000000000,6650.500000000,6651.250000000,221,NQZ8
2018-11-20T00:11:00.000000000Z,33,1,16041,6651.500000000,6654.000000000,6650.500000000,6652.500000000,157,NQZ8
2018-11-20T00:12:00.000000000Z,33,1,16041,6653.000000000,6653.000000000,6649.250000000,6651.000000000,103,NQZ8
2018-11-20T00:13:00.000000000Z,33,1,16041,6651.000000000,6652.250000000,6650.250000000,6651.750000000,57,NQZ8
2018-11-20T00:14:00.000000000Z,33,1,16041,6652.000000000,6652.750000000,6646.750000000,6649.250000000,220,NQZ8
2018-11-20T00:15:00.000000000Z,33,1,16041,6649.250000000,6652.000000000,6648.750000000,6650.500000000,101,NQZ8
2018-11-20T00:16:00.000000000Z,33,1,16041,6651.000000000,6654.000000000,6650.500000000,6653.000000000,124,NQZ8
2018-11-20T00:17:00.000000000Z,33,1,16041,6653.500000000,6656.000000000,6653.250000000,6656.000000000,112,NQZ8
2018-11-20T00:17:00.000000000Z,33,1,15657,6685.000000000,6685.000000000,6685.000000000,6685.000000000,1,NQH9
2018-11-20T00:18:00.000000000Z,33,1,16041,6656.250000000,6657.250000000,6655.250000000,6656.250000000,111,NQZ8
2018-11-20T00:19:00.000000000Z,33,1,16041,6656.750000000,6658.500000000,6656.500000000,6657.000000000,84,NQZ8
2018-11-20T00:20:00.000000000Z,33,1,16041,6657.250000000,6658.500000000,6656.500000000,6657.500000000,65,NQZ8
2018-11-20T00:21:00.000000000Z,33,1,16041,6657.250000000,6658.250000000,6655.750000000,6656.750000000,72,NQZ8
2018-11-20T00:22:00.000000000Z,33,1,16041,6656.500000000,6657.250000000,6655.750000000,6656.500000000,40,NQZ8
2018-11-20T00:23:00.000000000Z,33,1,16041,6656.500000000,6657.500000000,6656.250000000,6657.500000000,60,NQZ8
2018-11-20T00:24:00.000000000Z,33,1,16041,6657.750000000,6659.750000000,6657.500000000,6659.250000000,154,NQZ8
2018-11-20T00:25:00.000000000Z,33,1,16041,6659.000000000,6659.750000000,6658.250000000,6658.750000000,67,NQZ8
2018-11-20T00:25:00.000000000Z,33,1,15657,6687.750000000,6687.750000000,6687.750000000,6687.750000000,4,NQH9
2018-11-20T00:26:00.000000000Z,33,1,15657,6691.750000000,6691.750000000,6691.750000000,6691.750000000,1,NQH9
2018-11-20T00:26:00.000000000Z,33,1,16041,6658.500000000,6662.000000000,6658.250000000,6660.750000000,147,NQZ8
2018-11-20T00:27:00.000000000Z,33,1,16041,6660.250000000,6661.250000000,6659.000000000,6660.500000000,67,NQZ8
2018-11-20T00:28:00.000000000Z,33,1,16041,6660.250000000,6660.500000000,6659.500000000,6659.500000000,54,NQZ8
2018-11-20T00:29:00.000000000Z,33,1,16041,6659.500000000,6660.500000000,6659.000000000,6659.250000000,38,NQZ8
2018-11-20T00:30:00.000000000Z,33,1,15657,6688.750000000,6688.750000000,6688.750000000,6688.750000000,1,NQH9
2018-11-20T00:30:00.000000000Z,33,1,16041,6658.750000000,6658.750000000,6656.500000000,6657.250000000,112,NQZ8
2018-11-20T00:31:00.000000000Z,33,1,16041,6657.000000000,6657.750000000,6655.000000000,6656.000000000,103,NQZ8
2018-11-20T00:32:00.000000000Z,33,1,16041,6656.250000000,6657.750000000,6656.000000000,6656.750000000,57,NQZ8
2018-11-20T00:33:00.000000000Z,33,1,16041,6656.250000000,6656.500000000,6655.000000000,6655.500000000,53,NQZ8
2018-11-20T00:34:00.000000000Z,33,1,16041,6655.250000000,6657.250000000,6655.000000000,6657.000000000,28,NQZ8
2018-11-20T00:35:00.000000000Z,33,1,16041,6657.250000000,6657.250000000,6655.000000000,6656.250000000,29,NQZ8
2018-11-20T00:36:00.000000000Z,33,1,16041,6655.000000000,6655.750000000,6653.750000000,6655.000000000,35,NQZ8
2018-11-20T00:37:00.000000000Z,33,1,16041,6655.250000000,6655.500000000,6652.250000000,6653.000000000,86,NQZ8
2018-11-20T00:38:00.000000000Z,33,1,16041,6652.750000000,6656.000000000,6652.750000000,6654.750000000,35,NQZ8
2018-11-20T00:39:00.000000000Z,33,1,16041,6655.000000000,6657.750000000,6655.000000000,6657.000000000,51,NQZ8
2018-11-20T00:40:00.000000000Z,33,1,16041,6656.750000000,6657.750000000,6656.000000000,6657.250000000,46,NQZ8
2018-11-20T00:41:00.000000000Z,33,1,16041,6657.000000000,6657.500000000,6656.250000000,6656.500000000,58,NQZ8
2018-11-20T00:42:00.000000000Z,33,1,16041,6656.750000000,6658.750000000,6656.750000000,6658.250000000,40,NQZ8
2018-11-20T00:43:00.000000000Z,33,1,16041,6658.000000000,6658.500000000,6657.250000000,6658.000000000,58,NQZ8
2018-11-20T00:44:00.000000000Z,33,1,16041,6657.250000000,6658.000000000,6655.500000000,6656.000000000,38,NQZ8
2018-11-20T00:45:00.000000000Z,33,1,16041,6655.500000000,6655.750000000,6654.250000000,6655.000000000,92,NQZ8
2018-11-20T00:46:00.000000000Z,33,1,16041,6654.500000000,6655.000000000,6653.250000000,6653.500000000,46,NQZ8
2018-11-20T00:47:00.000000000Z,33,1,16041,6653.500000000,6654.750000000,6653.000000000,6654.750000000,56,NQZ8
2018-11-20T00:48:00.000000000Z,33,1,16041,6654.250000000,6654.500000000,6651.500000000,6652.250000000,59,NQZ8
2018-11-20T00:49:00.000000000Z,33,1,16041,6652.250000000,6652.250000000,6651.000000000,6652.000000000,62,NQZ8
2018-11-20T00:50:00.000000000Z,33,1,16041,6651.750000000,6654.000000000,6651.750000000,6652.500000000,42,NQZ8
2018-11-20T00:51:00.000000000Z,33,1,16041,6652.500000000,6655.250000000,6651.250000000,6652.000000000,75,NQZ8
2018-11-20T00:51:00.000000000Z,33,1,15657,6683.250000000,6683.250000000,6683.250000000,6683.250000000,1,NQH9
2018-11-20T00:52:00.000000000Z,33,1,16041,6652.250000000,6654.000000000,6651.500000000,6652.250000000,55,NQZ8
2018-11-20T00:53:00.000000000Z,33,1,16041,6652.250000000,6654.000000000,6651.750000000,6654.000000000,69,NQZ8
2018-11-20T00:54:00.000000000Z,33,1,16041,6654.000000000,6654.250000000,6651.000000000,6651.500000000,37,NQZ8
2018-11-20T00:55:00.000000000Z,33,1,16041,6651.000000000,6651.500000000,6648.250000000,6649.000000000,195,NQZ8
2018-11-20T00:56:00.000000000Z,33,1,16041,6649.000000000,6650.000000000,6648.250000000,6648.500000000,86,NQZ8
2018-11-20T00:57:00.000000000Z,33,1,16041,6649.000000000,6650.750000000,6648.250000000,6650.750000000,65,NQZ8
2018-11-20T00:58:00.000000000Z,33,1,16041,6650.500000000,6651.000000000,6649.500000000,6650.750000000,46,NQZ8
2018-11-20T00:59:00.000000000Z,33,1,16041,6650.250000000,6652.750000000,6649.500000000,6651.000000000,107,NQZ8
2018-11-20T01:00:00.000000000Z,33,1,16041,6650.750000000,6650.750000000,6640.250000000,6642.750000000,506,NQZ8
2018-11-20T01:00:00.000000000Z,33,1,15657,6677.750000000,6677.750000000,6677.500000000,6677.500000000,2,NQH9
2018-11-20T01:01:00.000000000Z,33,1,16041,6642.250000000,6644.500000000,6640.000000000,6641.500000000,847,NQZ8
2018-11-20T01:02:00.000000000Z,33,1,16041,6642.000000000,6646.000000000,6641.500000000,6644.000000000,843,NQZ8
2018-11-20T01:03:00.000000000Z,33,1,16041,6644.250000000,6646.250000000,6644.000000000,6645.250000000,654,NQZ8
2018-11-20T01:04:00.000000000Z,33,1,16041,6645.500000000,6646.250000000,6644.500000000,6645.000000000,381,NQZ8
2018-11-20T01:05:00.000000000Z,33,1,16041,6645.250000000,6645.750000000,6641.500000000,6642.250000000,318,NQZ8
2018-11-20T01:06:00.000000000Z,33,1,16041,6642.500000000,6642.750000000,6635.000000000,6638.750000000,416,NQZ8
2018-11-20T01:07:00.000000000Z,33,1,15657,6668.750000000,6673.000000000,6668.750000000,6669.500000000,5,NQH9
2018-11-20T01:07:00.000000000Z,33,1,16041,6639.000000000,6644.000000000,6638.000000000,6641.500000000,282,NQZ8
2018-11-20T01:08:00.000000000Z,33,1,16041,6641.750000000,6642.500000000,6640.250000000,6642.250000000,245,NQZ8
2018-11-20T01:09:00.000000000Z,33,1,16041,6642.250000000,6643.250000000,6641.250000000,6642.750000000,122,NQZ8
2018-11-20T01:10:00.000000000Z,33,1,16041,6642.500000000,6645.000000000,6641.250000000,6641.250000000,99,NQZ8
2018-11-20T01:11:00.000000000Z,33,1,16041,6641.500000000,6642.750000000,6639.250000000,6642.250000000,78,NQZ8
2018-11-20T01:12:00.000000000Z,33,1,16041,6642.500000000,6643.500000000,6641.750000000,6642.750000000,126,NQZ8
2018-11-20T01:13:00.000000000Z,33,1,16041,6643.000000000,6648.750000000,6643.000000000,6645.750000000,415,NQZ8
2018-11-20T01:14:00.000000000Z,33,1,16041,6646.000000000,6646.500000000,6645.000000000,6646.250000000,62,NQZ8
2018-11-20T01:15:00.000000000Z,33,1,16041,6646.500000000,6649.000000000,6645.750000000,6648.500000000,842,NQZ8
2018-11-20T01:15:00.000000000Z,33,1,15657,6678.500000000,6678.500000000,6678.500000000,6678.500000000,1,NQH9
2018-11-20T01:16:00.000000000Z,33,1,16041,6648.750000000,6649.750000000,6644.000000000,6646.000000000,359,NQZ8
2018-11-20T01:17:00.000000000Z,33,1,16041,6646.250000000,6649.750000000,6646.250000000,6649.750000000,88,NQZ8
2018-11-20T01:18:00.000000000Z,33,1,16041,6649.250000000,6651.500000000,6647.250000000,6650.500000000,127,NQZ8
2018-11-20T01:19:00.000000000Z,33,1,16041,6650.500000000,6651.250000000,6647.000000000,6647.750000000,103,NQZ8
2018-11-20T01:20:00.000000000Z,33,1,16041,6648.250000000,6650.750000000,6647.750000000,6650.000000000,99,NQZ8
2018-11-20T01:21:00.000000000Z,33,1,16041,6650.000000000,6650.500000000,6646.250000000,6647.500000000,75,NQZ8
2018-11-20T01:22:00.000000000Z,33,1,16041,6647.250000000,6649.250000000,6647.000000000,6648.000000000,49,NQZ8
2018-11-20T01:23:00.000000000Z,33,1,16041,6648.750000000,6649.750000000,6647.750000000,6649.000000000,27,NQZ8
2018-11-20T01:24:00.000000000Z,33,1,16041,6649.000000000,6650.250000000,6648.500000000,6650.250000000,25,NQZ8
2018-11-20T01:25:00.000000000Z,33,1,16041,6650.250000000,6652.750000000,6649.750000000,6652.500000000,71,NQZ8
2018-11-20T01:26:00.000000000Z,33,1,16041,6652.500000000,6655.750000000,6652.500000000,6654.500000000,84,NQZ8
2018-11-20T01:27:00.000000000Z,33,1,16041,6654.750000000,6655.250000000,6652.000000000,6653.750000000,58,NQZ8
2018-11-20T01:28:00.000000000Z,33,1,16041,6654.250000000,6654.750000000,6652.500000000,6653.250000000,30,NQZ8
2018-11-20T01:29:00.000000000Z,33,1,16041,6653.000000000,6655.250000000,6652.750000000,6654.750000000,41,NQZ8
2018-11-20T01:30:00.000000000Z,33,1,16041,6654.750000000,6656.750000000,6653.750000000,6654.500000000,96,NQZ8
2018-11-20T01:31:00.000000000Z,33,1,16041,6654.000000000,6656.750000000,6653.500000000,6656.000000000,62,NQZ8
2018-11-20T01:32:00.000000000Z,33,1,16041,6655.750000000,6656.000000000,6654.750000000,6654.750000000,29,NQZ8
2018-11-20T01:33:00.000000000Z,33,1,16041,6655.500000000,6655.500000000,6651.000000000,6653.500000000,64,NQZ8
2018-11-20T01:34:00.000000000Z,33,1,16041,6653.500000000,6654.000000000,6651.000000000,6651.250000000,34,NQZ8
2018-11-20T01:35:00.000000000Z,33,1,16041,6651.500000000,6654.000000000,6650.750000000,6653.750000000,30,NQZ8
2018-11-20T01:36:00.000000000Z,33,1,16041,6654.250000000,6654.500000000,6653.250000000,6654.500000000,26,NQZ8
2018-11-20T01:37:00.000000000Z,33,1,15657,6684.500000000,6684.500000000,6684.500000000,6684.500000000,1,NQH9
2018-11-20T01:37:00.000000000Z,33,1,16041,6655.000000000,6656.750000000,6654.000000000,6655.000000000,46,NQZ8
2018-11-20T01:38:00.000000000Z,33,1,16041,6655.500000000,6659.000000000,6655.500000000,6658.250000000,106,NQZ8
2018-11-20T01:39:00.000000000Z,33,1,16041,6658.500000000,6662.500000000,6658.500000000,6661.250000000,189,NQZ8
2018-11-20T01:40:00.000000000Z,33,1,16041,6660.750000000,6662.000000000,6659.750000000,6660.500000000,81,NQZ8
2018-11-20T01:41:00.000000000Z,33,1,16041,6660.500000000,6660.750000000,6658.750000000,6659.000000000,117,NQZ8
2018-11-20T01:42:00.000000000Z,33,1,16041,6659.500000000,6660.500000000,6657.750000000,6658.500000000,73,NQZ8
2018-11-20T01:43:00.000000000Z,33,1,16041,6658.750000000,6659.750000000,6657.750000000,6658.500000000,44,NQZ8
2018-11-20T01:44:00.000000000Z,33,1,16041,6659.250000000,6659.500000000,6656.000000000,6656.500000000,63,NQZ8
2018-11-20T01:45:00.000000000Z,33,1,16041,6656.750000000,6659.250000000,6656.500000000,6658.000000000,57,NQZ8
2018-11-20T01:46:00.000000000Z,33,1,16041,6657.250000000,6659.250000000,6657.250000000,6659.250000000,24,NQZ8
2018-11-20T01:47:00.000000000Z,33,1,16041,6658.500000000,6658.500000000,6657.250000000,6657.750000000,39,NQZ8
2018-11-20T01:48:00.000000000Z,33,1,16041,6657.250000000,6658.000000000,6656.000000000,6657.000000000,53,NQZ8
2018-11-20T01:49:00.000000000Z,33,1,16041,6657.000000000,6659.250000000,6656.250000000,6658.250000000,49,NQZ8
2018-11-20T01:50:00.000000000Z,33,1,16041,6658.250000000,6660.500000000,6658.250000000,6660.000000000,243,NQZ8
2018-11-20T01:51:00.000000000Z,33,1,16041,6659.750000000,6661.000000000,6659.500000000,6660.250000000,47,NQZ8
2018-11-20T01:52:00.000000000Z,33,1,16041,6660.500000000,6662.250000000,6659.750000000,6662.250000000,63,NQZ8
2018-11-20T01:53:00.000000000Z,33,1,16041,6661.750000000,6662.000000000,6660.500000000,6660.500000000,168,NQZ8
2018-11-20T01:54:00.000000000Z,33,1,16041,6660.750000000,6661.000000000,6659.250000000,6660.500000000,254,NQZ8
2018-11-20T01:55:00.000000000Z,33,1,16041,6660.250000000,6662.000000000,6659.750000000,6661.000000000,117,NQZ8
2018-11-20T01:56:00.000000000Z,33,1,16041,6661.250000000,6662.500000000,6661.250000000,6661.250000000,192,NQZ8
2018-11-20T01:57:00.000000000Z,33,1,16041,6662.000000000,6663.500000000,6662.000000000,6663.000000000,94,NQZ8
2018-11-20T01:58:00.000000000Z,33,1,16041,6663.250000000,6663.250000000,6657.000000000,6658.250000000,496,NQZ8
2018-11-20T01:59:00.000000000Z,33,1,16041,6657.750000000,6659.000000000,6654.250000000,6655.250000000,189,NQZ8
2018-11-20T02:00:00.000000000Z,33,1,16041,6655.250000000,6657.000000000,6655.000000000,6656.000000000,83,NQZ8
2018-11-20T02:01:00.000000000Z,33,1,16041,6655.500000000,6656.750000000,6655.250000000,6656.500000000,24,NQZ8
2018-11-20T02:02:00.000000000Z,33,1,16041,6656.500000000,6656.500000000,6654.750000000,6655.500000000,37,NQZ8
2018-11-20T02:03:00.000000000Z,33,1,16041,6656.000000000,6656.750000000,6655.500000000,6655.500000000,32,NQZ8
2018-11-20T02:04:00.000000000Z,33,1,16041,6655.250000000,6655.250000000,6651.250000000,6652.250000000,117,NQZ8
2018-11-20T02:05:00.000000000Z,33,1,16041,6651.250000000,6652.750000000,6651.250000000,6651.250000000,35,NQZ8
2018-11-20T02:06:00.000000000Z,33,1,16041,6651.750000000,6653.000000000,6651.250000000,6652.000000000,399,NQZ8
2018-11-20T02:07:00.000000000Z,33,1,16041,6652.000000000,6652.000000000,6649.500000000,6650.500000000,127,NQZ8
2018-11-20T02:08:00.000000000Z,33,1,16041,6650.750000000,6651.000000000,6649.500000000,6651.000000000,76,NQZ8
2018-11-20T02:09:00.000000000Z,33,1,16041,6651.250000000,6652.000000000,6650.500000000,6651.750000000,48,NQZ8
2018-11-20T02:10:00.000000000Z,33,1,16041,6651.750000000,6652.500000000,6650.750000000,6650.750000000,60,NQZ8
2018-11-20T02:10:00.000000000Z,33,1,15657,6680.000000000,6680.000000000,6680.000000000,6680.000000000,1,NQH9
2018-11-20T02:11:00.000000000Z,33,1,16041,6650.750000000,6652.000000000,6650.750000000,6651.500000000,290,NQZ8
2018-11-20T02:12:00.000000000Z,33,1,16041,6651.250000000,6651.500000000,6650.750000000,6651.000000000,239,NQZ8
2018-11-20T02:13:00.000000000Z,33,1,16041,6651.000000000,6651.500000000,6649.500000000,6650.250000000,85,NQZ8
2018-11-20T02:14:00.000000000Z,33,1,16041,6650.250000000,6650.750000000,6647.500000000,6647.500000000,165,NQZ8
2018-11-20T02:15:00.000000000Z,33,1,16041,6647.500000000,6648.250000000,6646.500000000,6646.750000000,263,NQZ8
2018-11-20T02:15:00.000000000Z,33,1,15657,6677.750000000,6677.750000000,6677.750000000,6677.750000000,1,NQH9
2018-11-20T02:16:00.000000000Z,33,1,16041,6646.500000000,6646.750000000,6645.000000000,6645.000000000,81,NQZ8
2018-11-20T02:17:00.000000000Z,33,1,16041,6646.000000000,6649.000000000,6646.000000000,6647.500000000,95,NQZ8
2018-11-20T02:18:00.000000000Z,33,1,16041,6647.500000000,6650.000000000,6647.500000000,6649.500000000,68,NQZ8
2018-11-20T02:19:00.000000000Z,33,1,16041,6648.750000000,6648.750000000,6647.000000000,6647.000000000,49,NQZ8
